City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,selfoss,63.9331,-20.9971,280.95,79,7,2.97,IS,1691551249
237,canutama,-6.5339,-64.3831,298.92,66,47,0.39,BR,1691551483
238,kavaratti,10.5669,72.642,301.19,75,100,7.83,IN,1691551335
239,ust-nera,64.5667,143.2,292.56,47,83,1.45,RU,1691551199
240,ziro,27.6333,93.8333,290.56,97,100,0.02,IN,1691551484
241,carnarvon,-24.8667,113.6333,295.73,54,7,4.77,AU,1691551252
242,bardai,11.65,7.2333,293.74,96,75,3.64,NG,1691551368
243,santo antonio do leverger,-15.8656,-56.0767,300.36,39,4,1.93,BR,1691551484
244,lenger,42.183,69.8839,298.84,26,0,1.08,KZ,1691551485
245,launceston,-41.45,147.1667,286.37,71,100,8.75,AU,1691551485
246,molde,62.7375,7.1591,286.32,94,100,4.12,NO,1691551485
247,muhlhausen,51.2167,10.45,286.89,96,100,2.85,DE,1691551485
248,colonia,50.9333,6.95,289.12,91,100,3.6,DE,1691551486
249,ziguinchor,12.5833,-16.2719,299.26,94,75,4.12,SN,1691551486
250,kralendijk,12.15,-68.2667,302.14,84,1,5.66,BQ,1691551400
251,kiruna,67.8557,20.2251,288.66,94,75,2.57,SE,1691551227
252,corner brook,48.9667,-57.9484,286.24,83,100,2.54,CA,1691551025
253,saraqib,35.8645,36.8059,295.31,83,0,3.03,SY,1691551488
254,nuuk,64.1835,-51.7216,276.97,100,100,3.6,GL,1691551060
255,gagliano del capo,39.8442,18.3695,293.83,64,0,6.17,IT,1691551488
256,porto novo,6.4965,2.6036,298.05,91,95,3.16,BJ,1691551424
257,ta`u,-14.2336,-169.5144,300.54,69,74,3.43,AS,1691551219
258,la'ie,21.6477,-157.9253,303.13,78,22,10.7,US,1691551286
259,atafu village,-8.5421,-172.5159,301.22,78,64,6.55,TK,1691550852
260,coahuayana de hidalgo,18.7,-103.6583,300.94,90,39,1.64,MX,1691551301
261,tauranga,-37.6861,176.1667,286.96,72,46,1.34,NZ,1691551278
262,novyy urgal,51.0736,132.5642,292.61,66,100,2.68,RU,1691551491
263,lexington,37.9887,-84.4777,295.42,79,0,2.57,US,1691551425
264,inarajan village,13.2736,144.7484,301.48,79,56,5.18,GU,1691551491
265,constantia,44.1833,28.65,286.53,74,0,3.39,RO,1691551281
266,viedma,-40.8135,-62.9967,283.61,45,88,8.2,AR,1691551318
267,mena,51.5217,32.2157,286.68,97,100,1.02,UA,1691551312
268,kapa'a,22.0752,-159.319,306.14,77,75,11.32,US,1691551078
269,isangel,-19.55,169.2667,295.06,61,47,7.22,VU,1691550910
270,constitucion,-35.3333,-72.4167,285.38,66,100,0.62,CL,1691551281
271,cabo san lucas,22.8909,-109.9124,306.27,74,20,5.66,MX,1691551377
272,lerwick,60.1545,-1.1494,283.15,78,100,14.57,GB,1691551494
273,santa terezinha,-29.9002,-50.0904,288.68,76,100,8.13,BR,1691551494
274,godda,24.8333,87.2167,297.74,94,100,5.37,IN,1691551487
275,nizhniy ingash,56.2,96.53,298.08,46,6,1.9,RU,1691551495
276,nova sintra,14.8667,-24.7167,295.89,73,29,4.87,CV,1691551192
277,totness,5.8833,-56.3167,298.53,86,84,5.45,SR,1691551496
278,komsomolets,53.7453,62.0708,289.27,92,100,5.68,KZ,1691551496
279,bechar,31.6167,-2.2167,305.33,14,0,2.06,DZ,1691551497
280,maitum,6.0392,124.4986,302.73,69,71,2.93,PH,1691551497
281,bubaque,11.2833,-15.8333,298.33,92,100,4.18,GW,1691551497
282,vilyuysk,63.7553,121.6247,296.59,32,99,5.03,RU,1691551126
283,chinde,26.8418,88.0763,292.46,95,100,2.68,NP,1691551498
284,rio grande,-32.035,-52.0986,287.56,74,99,8.1,BR,1691551498
285,puerto armuelles,8.2833,-82.8667,300.42,91,100,1.34,PA,1691551005
286,crane,31.3974,-102.3501,305.05,32,51,5.68,US,1691551232
287,saipan,15.1355,145.701,301.54,100,100,3.6,MP,1691551155
288,lihue,21.9789,-159.3672,305.73,71,75,11.32,US,1691551157
289,st. john's,47.5649,-52.7093,286.36,91,100,2.57,CA,1691551001
290,island harbour,50.724,-1.2758,289.78,93,80,0.89,GB,1691551499
291,mahina,-17.5065,-149.489,298.02,78,75,3.09,PF,1691551500
292,tabas,33.5959,56.9244,304.45,19,38,0.75,IR,1691551355
293,la passe,45.5549,-0.8967,287.58,63,1,2.94,FR,1691551212
294,dalandzadgad,43.5708,104.425,302.81,27,61,9.34,MN,1691551500
295,smithers,54.7804,-127.1743,289.33,94,75,2.06,CA,1691551234
296,miri,4.4148,114.0089,304.23,74,40,2.06,MY,1691551436
297,bridgewater,44.3835,-64.5155,292.1,90,100,8.23,CA,1691551501
298,turaif,31.6725,38.6637,295.29,56,0,4.12,SA,1691551501
299,turabah,21.2141,41.6331,298.79,17,33,1.76,SA,1691551502
300,ouarzazat,30.9189,-6.8934,303.31,20,40,1.03,MA,1691551502
301,ghadamis,30.1337,9.5007,299.55,37,0,4.1,LY,1691551502
